doll_friend_s2_message,Description,Skip,Additional comments,Identifier iOS,Identifier Android,en-us text,tw text,cn text,th-th text,de text
OOBE / Setup completed,Setup Success screen,,,babyProfile.finish,finish,Finish,完成,完成,เสร็จ,Beenden
OOBE / Setup completed,Setup Success screen,,,oobe.setup.setupsuccessful,setup_successfully,Successful setup,設定成功,设置成功,การตั้งค่าที่ประสบความสำเร็จ,Erfolgreiche Einrichtung
OOBE / Setup device,Monitor setup screen,,,oobe.monitorSetup.SecondButtonTitle,add_device,Add device,新增攝影機,新增摄像头,เพิ่มอุปกรณ์,Gerät hinzufügen
OOBE / Setup device,Monitor setup screen,,,oobe.monitorSetup.firstButtonTitle,didnt_hear_it,I did not see the light,我未看到燈號閃動,我未看到灯号闪动,ฉันไม่เห็นแสง,Ich habe das Licht nicht gesehen
OOBE / Setup device,Monitor setup screen,,,oobe.monitorSetup.title,monitor_setup,Set up Pixsee,Pixsee 設定,Pixsee 设置,ตั้งค่า Pixsee,Richten Sie Pixsee ein
OOBE / Setup device,Monitor setup screen,,,oobe.monitorSetup.subtitle,please_make_sure_flashing,Please remove the protective film to ensure night vision mode and make sure you see a blinking orange light to setup.,請移除鏡頭保護膜以確保夜視功能正常運作，並請確認看到裝置上橘燈閃動再進行安裝程序。,请移除摄像头保护膜以确保夜视功能正常运作，并请确认看到装置上橘灯闪动再进行安装程序。,โปรดถอดฟิล์มป้องกันเพื่อให้แน่ใจว่าโหมดการมองเห็นตอนกลางคืนและตรวจสอบให้แน่ใจว่าคุณเห็นแสงสีส้มกะพริบเพื่อติดตั้ง,"Bitte entfernen Sie die Schutzfolie, um den Nachtsichtmodus sicherzustellen, und stellen Sie sicher, dass beim Einrichten ein orangefarbenes Licht blinkt."
OOBE / User profile,"User profile settings screen, Scan qrcode screen, Connect wifi screen, Baby profile screen",,,next,next,Next,下一步,下一步,ต่อไป,Weiter
OOBE / User profile,User profile settings screen,,,,user_profile_birthday_format,%1$d/%2$d/%3$d,%1$d/%2$d/%3$d,%1$d/%2$d/%3$d,%1$d/%2$d/%3$d,%1$d/%2$d/%3$d
OOBE / User profile,User profile settings screen,,,,user_profile_name_hint,Name,名字,名字,ชื่อ,Name
OOBE / User profile,User profile settings screen,,,,user_profile_setup_tip,Profile can be edited in Settings later.,你之後仍可以從設定中進行修改,您之后仍可以从设置中进行修改,โปรไฟล์สามารถแก้ไขได้ในการตั้งค่าในภายหลัง,Das Profil kann später in den Einstellungen bearbeitet werden.
OOBE / User profile,User profile settings screen,,,userInfo.welcome,user_profile_setup_welcome,"Hi, welcome to use Pixsee. Please follow the instructions to set up your account.",嗨!歡迎加入Pixsee 請依據提示進行帳號設定,嗨!欢迎加入Pixsee 请依据提示进行帐号设置,สวัสดียินดีต้อนรับสู่การใช้ Pixsee โปรดทำตามคำแนะนำในการตั้งค่าบัญชีและอุปกรณ์ของคุณ,"Hallo, willkommen bei Pixsee. Bitte folge den Anweisungen, um Dein Konto einzurichten."
OOBE / Wi-Fi,Connect wifi screen,,,oobe.wifi.pass.connect.info.label,choose_wifi_network,Choose a Wi-Fi network for both your Pixsee and smartphone to be on.,為Pixsee選擇一個Wi-Fi連線，並確認您的手機也連上相同的Wi-Fi。,为Pixsee选择一个Wi-Fi连线，并确认您的手机也连上相同的Wi-Fi。,เลือกเครือข่าย Wi-Fi สำหรับทั้ง Pixsee และสมาร์ทโฟนของคุณ,"Wählen Sie ein Wi-Fi-Netzwerk, mit dem sowohl Ihr Pixsee als auch Ihr Smartphone verbunden sein sollen."
OOBE / Wi-Fi,Connect wifi screen,,,oobe.wifi.pass.connect.wifi,connect_wifi,Wi-Fi settings,Wi-Fi 設定,Wi-Fi无线网络设置,การตั้งค่า Wi-Fi,WLAN-Einstellungen
OOBE / Wi-Fi,Choose wifi dialog,,,,choose_wifi_list_dialog_title,Choose Wi-Fi,請選擇Wi-Fi,请选择Wi-Fi,เลือก wi-fi,Wählen Sie WLAN
OOBE / Wi-Fi,Connect wifi screen,,,,network_requirement,Network requirement,網路連線條件,网络连接条件,ข้อกำหนดเครือข่าย,Netzwerkanforderung
OOBE / Wi-Fi,Connect wifi screen,,,,secured_network,Secured,安全,安全,ปลอดภัย,Gesichert
OOBE / Wi-Fi,Connect wifi screen,,,,unsecured_network,Unsecured,不安全,不安全,ไม่มีหลักประกัน,Ungesichert
OOBE / Wi-Fi,Connect wifi screen,,,oobe.wifi.pass.placeholder.pass,please_enter_wifi_password,Please enter Wi-Fi password,請輸入Wi-Fi密碼,请输入Wi-Fi密码,โปรดป้อนรหัสผ่าน Wi-Fi,Bitte gib das WLAN-Passwort ein.
OOBE / Wi-Fi,Connect wifi screen,,,oobe.wifi.pass.placeholder.wifi.ssid,please_enter_wifi_ssid,Please enter Wi-Fi network name,請選擇您的Wi-Fi,请选择您的Wi-Fi,กรุณากรอกชื่อเครือข่าย Wi-Fi,Bitte gib den Namen des WLAN-Netzwerks ein.
OOBE / Wi-Fi,Connect wifi screen,,,oobe.wifi.pass.net.req,wifi_settings_empty_password_dialog_title,Attention,請注意,请注意,ความสนใจ,Achtung!
OOBE / Wi-Fi (ask for connecting dialog),Connect wifi screen turn on wifi dialog,,,PixseeNeedsYourWiFi,turn_on_wifi_message,Pixsee needs to apply your Wi-Fi settings,Pixsee需要套用你的Wi-Fi設定,Pixsee需要套用您的Wi-Fi设置,Pixsee จำเป็นต้องใช้การตั้งค่า Wi-Fi ของคุณ,Pixsee muss Ihre WLAN-Einstellungen übernehmen
OOBE / Wi-Fi (ask for connecting dialog),Connect wifi screen turn on wifi dialog,,,pleaseTurnWifiOn,turn_on_wifi_title,Please turn Wi-Fi on,請開啟Wi-Fi,请开启Wi-Fi,โปรดเปิด Wi-Fi,Bitte schalte das WLAN ein.
OOBE / Wi-Fi (loading dialog),Choose wifi dialog,,,,loading_wifi_list,Please wait while OS loads Wi-Fi list...,請稍候，正在讀取Wi-Fi列表,请稍候，正在读取Wi-Fi列表,โปรดรอขณะที่ OS โหลดรายการ Wi-Fi ...,"Bitte warten Sie, während das Betriebssystem die WLAN-Liste lädt ..."
OOBE / Wi-Fi connecting,Pairing device screen,,,oobe.pairing.firstButtonTitle,heard_wifi_password_error,"I heard \""Wi-Fi connection failed\""","我聽到\""Wi-Fi connection failed\""指示聲","我听到\""Wi-Fi connection failed\""指示音","ฉันได้ยิน \ ""การเชื่อมต่อ wi-fi ล้มเหลว \""","Ich habe gehört:\""Wi-Fi connection failed\"""
OOBE / Wi-Fi connecting,OOBE wifi confirmation screen,,,,wifi_confirmation_btn,<b>Solid green light</b>,<b>綠⾊恆燈</b>,<b>绿⾊恒灯</b>,<b> แสงสีเขียวทึบ </b>,<b>Dauerhaft grünes Licht</b>
OOBE / Wi-Fi connecting,OOBE wifi confirmation screen,,,oobe.connect.wifi.successful,,<b>Solid green light</b>,<b>綠⾊恆燈</b>,<b>绿⾊恒灯</b>,<b> แสงสีเขียวทึบ </b>,<b>Dauerhaft grünes Licht</b>
OOBE / Wi-Fi connecting,OOBE wifi confirmation screen,,,oobe.connect.wifi.subtitle,wifi_confirmation_description,Please look for a Solid green light.,請確認攝影機上綠燈恆亮,请确认摄像头上绿灯恒亮,โปรดมองหาแสงสีเขียวที่เป็นของแข็ง,Bitte achten Sie auf ein durchgehend grünes Licht.
OOBE / Wi-Fi connecting,OOBE wifi confirmation screen,,,oobe.connect.wifi.title,wifi_confirmation_title,Connect to Wi-Fi,連結 Wi-Fi,连结 Wi-Fi,เชื่อมต่อกับ Wi-Fi,Stellen Sie eine WLAN-Verbindung her
OOBE / Wi-Fi failed (dialog),Pairing device screen,,,oobe.pairing.wifiError.title,heard_wifi_password_error_dialog_title,Please make sure password is correct,請確認密碼輸入正確,请确认密码输入正确,โปรดตรวจสอบให้แน่ใจว่ารหัสผ่านถูกต้อง,"Bitte stelle sicher, dass das Passwort korrekt ist."
OOBE / Wi-Fi settings notify (dialog),,,,oobe.wifi.pass.net.req.subtitle,wifi_settings_empty_password_dialog_body,"For your safety, choose a connection that requires a password.",為了加強網路安全防護，請選擇有密碼設定的Wi-Fi進行連接,为了加强网络安全防护，请选择有密码设定的Wi-Fi进行连接,เพื่อความปลอดภัยของคุณเลือกการเชื่อมต่อที่ต้องใช้รหัสผ่าน,"Wählen Sie zu Ihrer Sicherheit eine Verbindung, die ein Passwort erfordert."
Permission (dialog),Permission asking modal,,[VIRTUS] It is not used because Android does not allow to change native permissions asking messages,permission.microphone.alert.message,permission_microphone_alert_message,"The 2-way talk, Voice Recorder, background monitoring, and live streaming functions need to use your phone's microphone.",雙向對話、聲音錄製、背景監控和即時影像功能需要使用您的手機麥克風,双向对话、声音录制、后台监控和即时影像功能需要使用您的手机麦克风,การพูดคุยแบบ 2 ทางเครื่องบันทึกเสียงการตรวจสอบพื้นหลังและฟังก์ชั่นการสตรีมสดจำเป็นต้องใช้ไมโครโฟนของโทรศัพท์,"Für die Zwei-Wege-Gesprächs-, Sprachaufzeichnungs-, Hintergrundüberwachungs- und Live-Streaming-Funktionen muss das Mikrofon Ihres Telefons verwendet werden."
Permission (dialog),Permission asking modal,,[VIRTUS] It is not used because Android does not allow to change native permissions asking messages,permission.microphone.alert.title,permission_microphone_alert_title,Pixsee needs to access your phone's microphone.,Pixsee需要使用您的手機麥克風,Pixsee需要使用您的手机麦克风,Pixsee ต้องการเข้าถึงไมโครโฟนของโทรศัพท์,Pixsee muss auf das Mikrofon Ihres Telefons zugreifen.
Permission (dialog),Permission asking modal,,[VIRTUS] It is not used because Android does not allow to change native permissions asking messages,permission.microphone.error,N/A,Microphone permission denied,不允許使用手機麥克風,不允许使用手机麦克风,การอนุญาตให้ใช้ไมโครโฟน,Mikrofonberechtigung verweigert
Permission (dialog),Permission asking modal,,[VIRTUS] It is not used because Android does not allow to change native permissions asking messages,permission.notification.error,N/A,Notification permission denied,不允許接受通知,不允许接受通知,การอนุญาตการแจ้งเตือนถูกปฏิเสธ,Benachrichtigungsberechtigung verweigert
Permission (dialog),Permission asking modal,,[VIRTUS] It is not used because Android does not allow to change native permissions asking messages,permission.photo.library.alert.message,N/A,We require access to your gallery to upload photos from your phone to the app and to save photos of special moments on your phone.,我们需要存取您的圖庫，讓您可在本應用中上傳照片、以及儲存珍貴時光的照片至您的手機中。,我们需要存取您的图库，让您可在本应用中上传照片、以及储存珍贵时光的照片至您的手机中。,ต้องเข้าถึงห้องสมุดรูปภาพ,"Wir benötigen Zugriff auf Ihre Galerie, um Fotos von Ihrem Telefon in die App hochzuladen und Fotos von besonderen Momenten auf Ihrem Telefon zu speichern."
Permission (dialog),Permission asking modal,,[VIRTUS] It is not used because Android does not allow to change native permissions asking messages,permission.photo.library.alert.title,N/A,"\""Pixsee\"" would like to access your photo library","\""Pixsee\"" 想要訪問您的相機膠捲","\""Pixsee\"" 想要访问您的相机胶卷","\ ""Pixsee \"" ต้องการเข้าถึงไลบรารีรูปภาพของคุณ",„Pixsee“ möchte auf Deine Fotobibliothek zugreifen
Permission (dialog),Permission asking modal,,[VIRTUS] It is not used because Android does not allow to change native permissions asking messages,permission.photo.library.error,N/A,Photo library permission denied,不允許使用相機膠捲,不允许使用相机胶卷,การอนุญาตให้ใช้ห้องสมุดรูปภาพถูกปฏิเสธ,Die Erlaubnis zur Fotobibliothek wurde verweigert
Permission (dialog),Permission asking modal,,,permission.camera.alert.message,permission_camera_alert_message,Access to camera required,需要訪問您的相機,需要访问您的相机,การเข้าถึงกล้องที่ต้องการ,Zugriff auf die Kamera erforderlich
Permission (dialog),Permission asking modal,,,permission.camera.alert.title,permission_camera_alert_title,Pixsee would like to access your camera,Pixsee想要訪問您的相機,Pixsee想要访问您的相机,Pixsee ต้องการเข้าถึงกล้องของคุณ,Pixsee möchte auf Ihre Kamera zugreifen
Permission (dialog),Permission asking modal,,,permission.camera.error,,Camera permission denied,相機權限被拒絕,相机权限被拒绝,การปฏิเสธการอนุญาตของกล้อง,Kameraberechtigung verweigert
Permission (dialog),Turn wifi on alert dialog,,,oobe.wifi.required.title,please_turn_wifi_on,Please turn Wi-Fi on,請開啟Wi-Fi,请开启Wi-Fi,โปรดเปิด Wi-Fi,Bitte schalte das WLAN ein.
Permission (dialog),Turn wifi on alert dialog,,,,device_needs_apply_settings,Pixsee needs to apply your Wi-Fi settings,Pixsee需要套用你的Wi-Fi設定,Pixsee需要套用您的Wi-Fi设置,Pixsee จำเป็นต้องใช้การตั้งค่า Wi-Fi ของคุณ,Pixsee muss Ihre WLAN-Einstellungen übernehmen
Playback / Failed,"Playback unavailable, message showed when no playback is available for the selected time",,,playback.unavailable,playback_unavailable,No playback data        ,無錄影回顧檔案	,无录影回顾档案,เล่นไม่พร้อมใช้งาน,Keine Wiedergabedaten        
Playback / Network failed,"Playback screen, Subscription screen network error dialog",,,feedback.try.again,try_again,Please try again later,請稍候再試,请稍后再试,กรุณาลองใหม่อีกครั้งในภายหลัง,Bitte versuche es später noch einmal.
Promotion / Special card,First time access advertising screen,,,special.cards.start,first_time_access_advertising_start_button,Start,開始,开始,เริ่ม,Start
Promotion / Special card,First time access advertising screen,,,premium.plan.subscribe,,Subscribe,訂閱,订阅,ติดตาม,Abonnieren
Promotion / Special card,First time access advertising screen,,,special.cards.intro.subtitle,first_time_access_advertising_text,"Try our “Milestone Cards” to mark & remember your baby’s heart-melting moments in a unique way. It’s easy, fun and rewarding!",快來玩玩我們的 “成長里程碑小卡 ”，妝點每個融化您的瞬間。簡單、好玩又愛不釋手 !,快来玩玩我们的 “成长里程碑小卡”，妆点每个融化您的瞬间。简单、好玩又爱不释手 !,ลองใช้“ Milestone Cards” ของเราเพื่อทำเครื่องหมายและจดจำช่วงเวลาที่ทำให้หัวใจของลูกน้อยของคุณในแบบที่ไม่เหมือนใคร มันง่ายสนุกและคุ้มค่า!,"Probieren Sie unsere „Meilensteinkarten“ aus, um die herzerwärmenden Momente Ihres Babys auf einzigartige Weise zu markieren und sich daran zu erinnern. Es ist einfach, macht Spaß und ist lohnend!"
Promotion / Special card,First time access advertising screen,,,special.cards.intro.title,first_time_access_advertising_title,Frame your baby's best moments,框住寶寶的 獨一無二,框住宝宝的 独一无二,วางกรอบช่วงเวลาที่ดีที่สุดของลูกน้อยของคุณ,Gestalten Sie die schönsten Momente Ihres Babys
Promotion / Special card,First time access advertising screen,,,premium.plan.try,first_time_access_advertising_try_button,Try,試用,试用,พยายาม,Versuchen
Push notification message shown when we have no linked UIDs when receiving a push notification,Push notification message shown when we have no linked UIDs when receiving a push notification,,,dialog.event.loggedOut,,You will no longer receive push notifications,你將無法收到訊息通知,你将无法收到讯息通知,คุณจะไม่ได้รับการแจ้งเตือนแบบพุชอีกต่อไป,Sie erhalten keine Push-Benachrichtigungen mehr
Push notification message when crying is detected and the reason is colic/unconfortable,Push notification,,,dialog.event.unwell,notification_baby_crying_content,%s is crying. Go take a look!,%s哭了，快去瞧瞧!,%s哭了，快去瞧瞧!,%s กำลังร้องไห้ ไปดู!,%s weint. Schau vorbei!
Push notification message when crying is detected and the reason is hungry,Push notification,,,dialog.event.hungry,notification_baby_crying_content,%s is crying. Go take a look!,%s哭了，快去瞧瞧!,%s哭了，快去瞧瞧!,%s กำลังร้องไห้ ไปดู!,%s weint. Schau vorbei!
Push notification message when crying is detected and the reason is sleepy,Push notification,,,dialog.event.sleepy,notification_baby_crying_content,%s is crying. Go take a look!,%s哭了，快去瞧瞧!,%s哭了，快去瞧瞧!,%s กำลังร้องไห้ ไปดู!,%s weint. Schau vorbei!
Push Notification title,Push notification,,,dialog.event.title.diaper,notification_baby_crying_title,Crying detected,哭聲偵測通知,哭声侦测通知,ตรวจพบการร้องไห้,Weinen erkannt
Push Notification title,Push notification,,,dialog.event.title.hungry,notification_baby_crying_title,Crying detected,哭聲偵測通知,哭声侦测通知,ตรวจพบการร้องไห้,Weinen erkannt
Push Notification title,Push notification,,,dialog.event.title.sleepy,notification_baby_crying_title,Crying detected,哭聲偵測通知,哭声侦测通知,ตรวจพบการร้องไห้,Weinen erkannt
Push Notification title,Push notification,,,dialog.event.title.unhappy,notification_baby_crying_title,Crying detected,哭聲偵測通知,哭了，快去瞧瞧!,ตรวจพบการร้องไห้,Weinen erkannt
Push Notification title,Push notification,,,dialog.event.title.unwell,notification_baby_crying_title,Crying detected,哭聲偵測通知,哭了，快去瞧瞧!,ตรวจพบการร้องไห้,Weinen erkannt
Push Notification title,Push notification,,,dialog.event.title.escape,area_detection,Area Detection,區域偵測通知,区域侦测通知,การตรวจหาพื้นที่,Bereichserkennung
Push Notification title,Push notification,,,dialog.event.title.trespass,area_detection,Area Detection,區域偵測通知,区域侦测通知,การตรวจหาพื้นที่,Bereichserkennung
Push Notification title,Push notification,,,dialog.event.title.temperatureAndHumidity,notification_hum_temp_message_title,Sensor notification,環境偵測通知,环境侦测通知,การแจ้งเตือนเซ็นเซอร์,Sensorbenachrichtigung
Push Notification title,Push notification,,,dialog.event.humidity,notification_humidity_message_content,%s humidity is out of the comfort range (%d%%). Check on %s.,%s室內溼度 (%d%%) 超過舒適範圍，快去瞧瞧%s!,%s 室内湿度 (%d%%) 超过舒适范围，快去瞧瞧%s!,ความชื้น%s อยู่นอกช่วงความสะดวกสบาย (%d%%) ตรวจสอบ %s,%s Luftfeuchtigkeit liegt außerhalb des Komfortbereichs (%d%%). Überprüfe %s.
Push Notification title,Push notification,,,dialog.event.title.humidity,notification_humidity_message_title,Humidity notification,濕度偵測通知,湿度侦测通知,การแจ้งเตือนความชื้น,Benachrichtigung über Luftfeuchtigkeit
Push Notification title,Push notification,,,dialog.event.title.overTemperature,notification_temperature_message_title,Temperature notification,溫度偵測通知,温度侦测通知,การแจ้งเตือนอุณหภูมิ,Temperaturbenachrichtigung
Push Notification title,Push notification,,,dialog.event.title.underTemperature,notification_temperature_message_title,Temperature notification,溫度偵測通知,温度侦测通知,การแจ้งเตือนอุณหภูมิ,Temperaturbenachrichtigung
Push Notification title,Push notification title shown when we have no linked UIDs when receiving a push notification ,,,dialog.event.title.loggedOut,,No Pixsee devices linked,無連接裝置,无连接装置,ไม่มีการเชื่อมโยงอุปกรณ์ Pixsee,Keine Pixsee-Geräte verknüpft
"Push Notification title, please leave this empty","Push notification title is empty when we receive unexpected payload, we only show ""notification"" in the push notification's body",V,,dialog.event.title.unknown,,,,,,
Recording screen,Recording screen,,,voiceRecorder.recordDuration,recording_time_limit,Record max %d sec,最多可錄%d秒,最多可录%d秒,บันทึกสูงสุด %d วินาที,Maximal %d Sek. aufzeichnen
Reset device (dialog),Reset monitor dialog used on Monitor setup and Pairing device screens,,,oobe.reset.monitor.title,reset_monitor,Reset Pixsee,重新設定Pixsee,重新设置Pixsee,รีเซ็ต Pixsee,Pixsee zurücksetzen
Reset Wi-Fi (dialog),"Reset wifi dialog used on Device Settings screen, Pairing device screen",,,oobe.reset.wifi.subtitle,long_press_wifi,Long press the Wi-Fi button (10 sec) until you see the Blinking blue light.,請長按Wi-Fi鍵(10秒)，直到看到藍⾊閃燈,请长按Wi-Fi键(10秒)，直到看到蓝⾊闪灯,ลองกดปุ่ม Wi-Fi (10 วินาที) จนกว่าคุณจะเห็นแสงสีน้ำเงินกะพริบ,"Drücken Sie lange (10 Sekunden) auf die WLAN-Taste, bis das blaue Licht blinkt."
Reset Wi-Fi (dialog),"Reset wifi dialog used on Device Settings screen, Pairing device screen",,,oobe.reset.wifi.title,reset_wifi,Reset Wi-Fi,重設Wi-Fi,重设Wi-Fi,รีเซ็ต Wi-Fi,WLAN zurücksetzen
Scheduling play / List,Text for modal that will be shown in Schedule play list screen when app fails to sync schedules between Cloud and Pixsee device,,,schedulingplay.syncError,schedule_list_sync_fail,Failed to sync data with device.,與裝置同步資料失敗,与装置同步资料失败,ไม่สามารถซิงค์ข้อมูลกับอุปกรณ์ไม่ได้,Daten konnten nicht mit dem Gerät synchronisiert werden.
Scheduling play / List,Schedule play list screen,,,schedulingplay.everyday,week_period_everyday,Everyday,每日,每日,ทุกวัน,Täglich
Scheduling play / List,Schedule play list screen,,,schedulingplay.weekday,week_period_weekday,Weekday,工作日,工作日,วันธรรมดา,Wochentag
Scheduling play / List,Schedule play list screen,,,schedulingplay.weekend,week_period_weekend,Weekend,假日,假日,สุดสัปดาห์,Wochenende
Scheduling play / New,Schedule Play screen,,,schedulingplay.customize,music_schedule_profile_customize,Customize,自定義,自定义,ปรับแต่ง,Anpassen
Scheduling play / New,Schedule Play screen,,,schedulingplay.letsMove,music_schedule_profile_lets_move_about,Let's move about!,寶寶動一動,宝宝动一动,มาดูกันเถอะ!,Lasst uns umherziehen!
Scheduling play / New,Schedule Play screen,,,schedulingplay.morningSunshine,music_schedule_profile_morning_sunshine,Morning sunshine!,早安，晨光！,早安，晨光！,แสงแดดยามเช้า!,Morgensonne!
Scheduling play / New,Schedule Play screen,,,schedulingplay.naptime,music_schedule_profile_naptime,Naptime!,小睡充電,小睡充电,เวลางีบ!,Mittagsschlaf!
Scheduling play / New,Schedule Play screen,,,schedulingplay.nightNight,music_schedule_profile_night_night,"Night, night!",晚安，寶寶！,晚安，宝宝！,กลางคืนคืน!,"Nacht, Nacht!"
Scheduling play / New,Schedule Play screen,,,schedulingplay.squeakyCleanFun,music_schedule_profile_squeaky_clean_fun,Squeaky clean fun,寶寶洗香香,宝宝洗香香,ความสนุกที่สะอาดสะอ้าน,Ein blitzsauberer Spaß
Scheduling play / New,Schedule Play screen,,,schedulingplay.yummyTime,music_schedule_profile_yummy_time,Yummy time,寶寶好食光,​​宝宝好食光,เวลาอร่อย,Leckere Zeit
Scheduling play / Setup,,,,schedulingplay.content,schedule_plan_content,Music,音樂,音乐,ดนตรี,Musik
Scheduling play / Setup,Schedule Plan screen,,,schedulingplay.playingTimes,schedule_plan_playing_times,Play times,播放次數,播放次数,เวลาเล่น,Spielzeiten
Scheduling play / Setup,Schedule Plan screen,,,schedulingplay.repeat,schedule_plan_repeat,Repeat,重複,重复,ทำซ้ำ,Wiederholen
Scheduling play / Setup,Schedule Plan screen,,,schedulingplay.title,schedule_plan_toolbar_title,Music Scheduler,音樂排程,音乐排程,ตัวกำหนดตารางเวลา,Musikplaner
Scheduling play / Setup,Schedule Plan screen,,,schedulingplay.emptyListText,schedule_play_empty_list,Customize your playlist and play time,自定義播放清單及播放時間,自定义播放列表及播放时间,ปรับแต่งเพลย์ลิสต์และเวลาเล่นของคุณ,Passen Sie Ihre Wiedergabeliste und Spielzeit an
Scheduling play / Setup,Schedule Plan screen,,,schedulingplay.limitReached,schedule_play_full_list,You can add up to 10 music schedules,您最多只能添加10筆播放排程,您最多只能添加10笔播放计划,คุณสามารถเพิ่มตารางเพลงได้มากถึง 10 ตาราง,Sie können bis zu 10 Musikpläne hinzufügen
Scheduling play / Setup,Schedule Plan screen,,,schedulingplay.playTime,schedule_plan_playing_period,Play time,播放時間,播放时间,เวลาเล่น,Spielzeit
Scheduling play / Setup,Schedule play list screen,,,schedulingplay.friday,week_day_fri,Fri,五,五,วันศุกร์,Fr
Scheduling play / Setup,Schedule play list screen,,,schedulingplay.monday,week_day_mon,Mon,一,一,จอน,Mo
Scheduling play / Setup,Schedule play list screen,,,schedulingplay.saturday,week_day_sat,Sat,六,六,นั่ง,Sa
Scheduling play / Setup,Schedule play list screen,,,schedulingplay.sunday,week_day_sun,Sun,日,日,ดวงอาทิตย์,Sonne
Scheduling play / Setup,Schedule play list screen,,,schedulingplay.thursday,week_day_thu,Thu,四,四,เทือกเขา,Do
Scheduling play / Setup,Schedule play list screen,,,schedulingplay.tuesday,week_day_tue,Tue,二,二,อ.,Di
Scheduling play / Setup,Schedule play list screen,,,schedulingplay.wednesday,week_day_wed,Wed,三,三,พุธ,Heiraten
Settings / Check nework (dialog),"Crying settings screen, e-Fence settings screen no response from device dialog, Sensor settings screen no response from device dialog",,,deviceSettings.failure,device_didnt_response,The device isn't responding. Check your network connection and try again!,裝置無回應，請確認網路連線狀態，並稍候再試!,装置无响应，请确认网络联机状态，并稍候再试!,อุปกรณ์ไม่ตอบสนอง ตรวจสอบการเชื่อมต่อเครือข่ายของคุณและลองอีกครั้ง!,Das Gerät reagiert nicht. Überprüfen Sie Ihre Netzwerkverbindung und versuchen Sie es erneut!
Settings / Crying,Crying settings screen,,,device.settings.detection.crying.hint,auto_detect_and_alert_when_baby_is_crying,"When crying is detected, an automatic alert will be sent.",當偵測到寶寶哭聲，自動開啟提醒功能。,当侦测到宝宝哭声，自动开启提醒功能。,เมื่อตรวจพบการร้องไห้การแจ้งเตือนอัตโนมัติจะถูกส่ง,"Wenn Weinen erkannt wird, wird eine automatische Benachrichtigung gesendet."
Settings / Crying,Crying settings screen,,,crying.soothing.settings,auto_play_music,Music settings,安撫音樂設定,安抚音乐设置,การตั้งค่าเพลง,Musikeinstellungen
Settings / Crying,Crying settings screen,,,crying.soothing.description,auto_play_music_when_baby_crying,Play music automatically when the baby is crying.,自動播放安撫音樂,自动播放安抚音乐,เล่นเพลงโดยอัตโนมัติเมื่อทารกร้องไห้,"Spielen Sie automatisch Musik ab, wenn das Baby weint."
Settings / Crying,Crying settings screen,,,,smart_music,Music,音樂,音乐,เพลงที่ตั้งไว้ล่วงหน้า,Musik
Settings / Crying,Crying settings screen,,,crying.soothing,smart_soothing,Smart soothing,安撫音樂,安抚音乐,ผ่อนคลายอย่างชาญฉลาด,Smart beruhigend
Settings / Enviornment settings,Sensor settings screen,,[VIRTUS] In Android is used the key: temperature_range_label,sensors.settings.range,,%s range (%d-%d %s),設定的%s區間為 %d~%d %s,设置的%s区间为 %d~%d %s,ช่วง%s (%d-%d%s),%s Bereich (%d-%d %s)
Settings / Enviornment settings,Sensor settings screen,,,device.settings.detection.sensors.hint,auto_detect_and_alert_when_baby_tem_hum_comfort,When the temperature or humidity is out of the comfort range an automatic alert will be sent.,當攝影機偵測到環境溫、溼度數值超過設定的範圍，開啟自動提醒功能,当摄像头侦测到环境温度、湿度数值超过设置范围时，开启通知,เมื่ออุณหภูมิหรือความชื้นอยู่นอกช่วงความสะดวกสบายจะมีการส่งการแจ้งเตือนอัตโนมัติ,"Wenn die Temperatur oder Luftfeuchtigkeit außerhalb des Komfortbereichs liegt, wird eine automatische Warnung gesendet."
Settings / Enviornment settings,"Sensor settings screen, Home screen, Landscape live streaming",,,sensors.settings.humidity,humidity,Humidity,濕度,湿度,ความชื้น,Luftfeuchtigkeit
Settings / Enviornment settings,"Sensor settings screen, Device settings",,,sensors.settings.title,sensor_settings,Environment settings,環境感測設定,环境感测设定,การตั้งค่าสภาพแวดล้อม,Umgebungseinstellungen
Settings / Enviornment settings,Sensor settings screen,,,sensorSettings,sensor_settings_toolbar_title,Environment settings,環境感測設定,环境感测设定,การตั้งค่าสภาพแวดล้อม,Umgebungseinstellungen
Settings / Enviornment settings,Sensor settings screen,,,,humidity_best_range_tip,The comfort humidity range for the baby is 30~60%,提醒您，適合寶寶的環境濕度建議值為30-60%,提醒您，适合宝宝的环境湿度建议值为30-60%,ช่วงความชื้นที่สะดวกสบายสำหรับทารกคือ 30 ~ 60%,Der Komfort-Luftfeuchtigkeitsbereich für das Baby liegt bei 30–60 %.
Settings / Enviornment settings,Sensor settings screen,,,,humidity_range_label,Humidity range: %d-%d %%,設定的濕度區間為%d-%d %%,设定的湿度区间为%d-%d %%,ช่วงความชื้น: %d- %d%%,Luftfeuchtigkeitsbereich: %d-%d %%
Settings / Enviornment settings,Sensor settings screen,,,,sensor_settings_bottom_warning,Note: This account can see all contents of this baby.,提醒: 此成員可看到所有寶寶的內容,提醒: 此成员可看到所有宝宝的内容,หมายเหตุ: บัญชีนี้สามารถดูเนื้อหาทั้งหมดของทารกนี้ได้,Hinweis: Dieses Konto kann alle Inhalte dieses Babys sehen.
